time,open,high,low,close,TD8,TD8,TD9,TD9,Small Bull Arrow,Small Bear Arrow,Big Bull Arrow,Big Bear Arrow,Over-Bought,Over-Sold,Caution,Danger
1483488000,1032.63475,1148.1075,1019.7025,1130.39975,,,,,0,0,0,0,1066.6430928289492,763.6415802592826,,0
1483574400,1130.46475,1158.945,880.855,1005.6425,,,,,0,0,0,0,1097.0469265422275,774.9744332756392,,1
1483660800,1005.245,1036.0615,873.3735,894.70325,,,,,0,0,0,0,1103.8393495371279,785.4234991904663,,
1483747200,895.43,909.6195,809.835,907.65,,,,,0,0,0,0,1100.5261433039273,789.2188513564622,,
1483833600,908.811,943.927,890.115,915.99975,,,,,0,0,0,0,1096.818172514987,800.8655053247119,,
1483920000,914.73525,916.81475,879.98,901.73,,,,,0,0,0,0,1091.6406485876305,812.7679600885289,,
1484006400,901.708,914.56175,896.725,906.91425,,,,,0,0,0,0,1088.0029876135027,825.3567696476923,,
1484092800,907.03475,922.7475,761.3855,785.9935,,,,,0,0,0,0,1086.7275529708943,812.4585302371462,,
1484179200,784.3,835.78475,748.49525,808.3385,,,,,0,0,0,0,1090.5200972786065,794.6331044691747,,
1484265600,808.89475,834.8,778.1425,829.5125,,,,,0,0,0,0,1093.5473245486803,782.1909932322367,,
1484352000,829.8175,843.0015,814.585,822.65275,,,,,0,0,0,0,1095.4482445232666,777.7174268270629,,
1484438400,823.69225,830.2575,812.7325,827.50975,,,,,0,0,0,0,1097.6993899581673,770.863338951542,,
1484524800,827.24275,839.22,822.19875,833.5115,,,,,0,0,0,0,1098.2691070865026,765.188328201248,,
1484611200,833.9535,912.1225,831.03,906.14325,,,,,0,0,0,0,1095.2233120987682,760.0252898068268,,
1484697600,906.875,916.645,851.31025,888.24775,,,,,0,0,0,0,1091.8688733335687,757.2172715283252,,
1484784000,888.2655,908.7425,883.6775,902.2675,,,,,0,0,0,0,1089.0193158596094,756.3400230361913,,
1484870400,902.6045,905.1685,885.0025,896.68225,,,,,0,0,0,0,1086.0164382615549,755.889068632507,,
1484956800,896.17725,928.76275,894.783,924.1545,,,,,0,0,0,0,1080.6721167231804,756.6053060261349,,
1485043200,924.1545,941.0775,893.0675,926.2425,,1,,,0,0,0,0,1072.1772285499283,759.9824968303287,,
1485129600,925.8625,928.8725,912.958,915.347,,,,1,0,0,0,0,1061.945176353101,766.4353429643664,,
1485216000,915.4625,925.2725,881.5165,885.91375,,,,,0,0,0,0,1027.3798326060044,778.0914149159046,,
1485302400,885.345,903.58375,885.096,895.325,,,,,0,0,0,0,976.6212263227787,778.0865568412682,,
1485388800,895.465,920.9525,894.84325,916.094,,,,,0,0,0,0,955.3874000621144,778.0556644402257,,
1485475200,916.34,924.8075,909.745,920.98975,,,,,0,0,0,0,956.6826420027663,782.1494196722657,,
1485561600,920.865,923.2775,917.67,920.80725,,,,,0,0,0,0,954.2318205599285,781.5961728724769,,
1485648000,921.33225,923.5525,914.038,914.968,,,,,0,0,0,0,954.8578588489404,781.3903833393271,,
